2 0 1 1 01/27/23_04:14:09
2 0 1 2 01/27/23_04:14:31
1 0 1 . 01/27/23_04:14:45
2 0 1 . 01/27/23_04:18:11
2 1 3 iphone 01/27/23_04:19:02
2 2 3 chair 01/27/23_04:19:30
2 3 3 iphone 01/27/23_04:20:48
2 1 4 25->26 01/27/23_04:21:17
2 2 5 15->14 01/27/23_04:21:25
1 0 1 . 01/27/23_04:23:01
1 0 2 . 01/27/23_04:23:22
1 2 5 14->10 01/27/23_04:23:34
1 0 1 . 01/27/23_17:11:32
1 0 1 . 01/27/23_17:13:24
2 0 1 . 01/27/23_17:29:25
2 0 1 . 01/27/23_17:29:55
2 0 1 . 01/27/23_17:30:11
2 0 1 . 01/27/23_17:30:39
2 0 1 . 01/27/23_17:31:12
2 0 1 . 01/27/23_17:31:42
1 0 1 . 01/27/23_17:31:55
1 0 1 . 01/27/23_18:09:37
1 0 1 . 01/27/23_18:09:57
1 0 1 . 01/27/23_18:14:54
2 0 1 . 01/27/23_18:17:38
2 0 1 . 01/27/23_18:18:36
2 0 1 . 01/27/23_18:22:00
2 0 1 . 01/27/23_18:24:01
1 0 1 . 01/27/23_18:25:42
1 0 1 . 01/27/23_18:27:17
2 0 1 . 01/27/23_18:27:53
2 0 1 . 01/27/23_18:29:00
1 0 1 . 01/27/23_18:29:47
1 0 1 . 01/27/23_18:31:01
1 0 1 . 01/27/23_18:32:33
1 0 1 . 01/27/23_18:32:51
1 0 1 . 01/31/23_08:38:30
1 0 1 . 01/31/23_08:39:39
1 0 1 . 01/31/23_08:40:39
1 0 1 . 01/31/23_08:44:05
1 0 1 . 01/31/23_09:18:09
1 0 1 . 01/31/23_09:20:16
1 0 1 . 01/31/23_09:21:12
1 0 1 . 01/31/23_09:22:33
1 0 1 . 01/31/23_09:25:01
3 0 1 . 01/31/23_09:28:03
3 4 3 table 01/31/23_09:28:25
3 4 4 2->5 01/31/23_09:29:11
3 4 5 5->4 01/31/23_09:29:29
3 0 2 . 01/31/23_09:29:50
1 0 1 . 01/31/23_09:32:56
1 0 1 . 01/31/23_10:04:29
1 1 5 25->24 01/31/23_10:04:41
1 0 1 . 01/31/23_11:04:29
1 0 1 . 01/31/23_11:06:03
